"BAU","SA","EXT10","EXT30","GTR30","NTSR","NTLR"
20.5981,30.7717,24.5489,26.5891,21.0024,20.1752,28.1386
109.728,165.395,129.12,161.092,110.461,96.995,123.906
122.751,173.19,122.945,122.945,122.751,173.19,"NA"
78.4302,100.286,78.2663,78.2663,78.4304,100.286,"NA"
17.3846,15.4183,"NA","NA","NA",15.4183,"NA"
222.862,360.422,269.992,295.745,227.442,259.693,360.422
109.469,219.174,103.409,163.632,129.242,111.702,111.702
26.7285,31.6346,"NA","NA","NA",31.6346,"NA"
71.2167,155.588,87.6693,125.774,71.8201,82.6692,106.433
59.0794,78.8116,58.9734,58.9734,59.0801,78.8116,"NA"
80.6416,198.011,86.8914,152.504,81.4517,77.6908,77.6908
35.7895,53.3912,43.6832,43.8998,36.0645,48.8872,53.3912
195.876,268.119,213.435,213.435,196.702,268.119,"NA"
9.25808,2.13296,3.1738,2.13564,"NA",8.77047,8.77047
52.1692,61.9536,"NA","NA","NA",61.9536,"NA"
32.6528,72.7022,41.3952,66.2692,34.53,29.3176,32.0601
103.016,138.499,"NA","NA","NA",138.499,"NA"
83.5434,88.7986,"NA","NA","NA",88.7986,"NA"
138.35,164.473,149.704,149.704,138.744,150.932,164.473
26.4091,49.3781,33.3255,49.3441,28.0454,22.0629,26.3632
33.5557,32.0096,"NA","NA","NA",32.0096,"NA"
84.7216,87.4486,"NA","NA","NA",87.4486,"NA"
73.7265,162.174,92.1973,147.899,78.8285,66.7339,72.2922
8.82607,15.9042,10.7759,11.7179,9.05376,9.58777,15.9042
67.0073,137.735,60.2384,99.9579,68.9957,62.3768,64.7354
37.8514,96.604,41.4771,71.311,44.3847,38.8399,40.3679
43.364,74.0592,53.7623,74.0592,45.6965,39.3644,43.1443
115.242,236.517,111.811,178.179,118.411,108.992,108.992
206.714,264.902,"NA","NA","NA",264.902,"NA"
207.918,285.488,209.129,209.129,207.92,285.488,"NA"
50.1445,90.4623,62.345,75.4928,51.193,64.5905,73.1163
117.192,131.856,"NA","NA","NA",131.856,"NA"
33.8169,59.3968,29.356,44.906,29.4811,32.468,32.468
157.331,270.56,132.521,202.701,164.498,149.808,149.808
35.7413,116.951,55.0176,78.9641,44.749,33.9265,33.9265
74.4928,173.162,77.4629,133.69,75.4569,71.698,71.698
66.6547,111.273,88.8178,111.187,69.5267,48.1052,111.273
119.104,251.786,122.766,192.874,140.267,121.212,121.212
21.8357,40.9609,21.8129,21.8129,22.1319,22.3499,40.9609
123.112,262.226,125.654,199.498,144.207,125.329,125.329
121.508,144.383,"NA","NA","NA",144.383,"NA"
45.8327,58.9817,"NA","NA","NA",58.9817,"NA"
55.8181,60.2725,"NA","NA","NA",60.2725,"NA"
108.3,159.26,81.8802,119.61,98.0658,102.527,102.527
202.782,272.516,"NA","NA","NA",272.516,"NA"
8.76075,15.2779,8.65081,8.65081,8.73163,8.67117,8.72006
38.4661,73.1884,35.3583,35.3583,38.3151,39.8171,39.8171
39.7604,6.14323,9.47812,9.47812,38.8441,34.1103,34.1103
18.3456,7.52474,5.49474,5.48276,17.9689,15.7374,15.7374
32.9187,74.951,36.4443,57.9183,36.5421,34.0019,34.0019
144.584,166.7,74.181,74.181,122.909,128.362,111.291
205.534,520.347,237.418,395.47,230.274,210.962,210.962
239.879,410.948,291.721,292.69,242.516,373.7,410.948
216.189,238.615,"NA","NA","NA",238.615,"NA"
63.815,95.9188,70.1084,70.1084,64.0131,95.9188,"NA"
11.6742,25.2416,13.5728,21.0773,12.054,11.2637,11.434
105.966,119.924,126.306,126.306,105.966,119.522,119.924
119.585,246.548,120.002,191.231,124.721,115.941,115.941
166.522,149.583,79.1514,79.1514,163.05,145.403,145.403
183.898,446.798,202.142,336.788,207.034,188.731,188.731
65.322,29.8147,21.7685,21.7685,64.3016,56.3925,56.3925
50.0293,85.37,67.7148,76.0988,50.0374,65.1595,84.7593
117.341,241.28,108.658,180.411,108.404,107.14,107.14
117.993,153.408,130.18,130.18,118.43,153.408,"NA"
154.223,371.349,163.793,276.268,178.889,157.628,157.628
47.183,76.6108,58.3954,63.8796,48.0795,37.5041,76.6108
106.819,164.151,82.0825,82.0825,91.9964,97.0899,97.0899
155.318,322.258,147.965,243.973,159.277,142.963,142.963
58.3879,92.6884,75.0786,75.5758,59.285,61.5156,92.6884
178.358,419.537,191.45,315.521,209.302,183.49,183.49
67.319,91.0309,74.3069,74.3069,67.5742,81.6368,91.0309
140.122,243.049,111.884,176.622,138.498,131.685,131.685
172.812,368.582,171.997,282.013,160.397,160.402,160.402
38.3294,72.5799,51.2241,72.5799,40.64,28.6994,37.956
79.1654,208.831,92.1018,157.104,90.4443,81.0823,81.0823
86.8279,182.683,81.1305,133.904,89.4033,81.1674,81.1674
20.8071,37.4115,27.6238,34.9096,21.4153,18.8803,37.4115
202.562,388.258,183.088,290.764,210.694,192.307,192.307
9.67299,18.4441,10.3378,10.3378,9.61271,9.83969,9.66093
236.59,478.978,224.298,360.77,245.28,226.677,226.677
88.9914,157.037,73.0391,116.99,90.53,80.5502,80.5502
22.8568,43.2995,19.9875,32.4199,23.0653,20.7942,20.7942
66.6273,144.437,69.0354,109.894,78.4998,68.6891,68.6891
134.947,129.518,"NA","NA","NA",129.518,"NA"
57.1419,108.249,49.9688,81.0498,57.6631,51.9855,51.9855
31.8704,62.3535,43.2937,43.2937,31.9337,28.2994,31.5605
57.7399,131.073,61.3573,99.4414,67.567,59.2824,59.2824
189.706,225.286,"NA","NA","NA",225.286,"NA"
22.0103,51.6424,28.1554,46.8664,23.2664,23.8978,33.4042
153.292,341.772,145.089,240.716,152.048,170.277,187.84
87.4091,107.147,"NA","NA","NA",88.914,107.147
39.5174,56.5899,26.9919,26.9919,33.5639,35.3843,35.3843
