"BAU","SA","EXT10","EXT30","GTR30","NTSR","NTLR"
0.112691,0.299331,0.11867,0.124012,0.112691,0.165517,0.258277
0.373634,1.13168,0.39899,0.475969,0.373676,0.676916,0.803997
0.445895,1.47254,0.442618,0.442618,0.445895,1.47254,"NA"
0.334043,0.807008,0.291101,0.291101,0.334043,0.807008,"NA"
0.00311416,0.00200536,"NA","NA","NA",0.00200536,"NA"
0.569808,1.66167,0.722803,0.894439,0.569808,0.66457,1.66167
0.591856,0.0204914,0.327471,0.0112731,0.32214,0.730121,0.730121
0.00389801,0.0387136,"NA","NA","NA",0.0387136,"NA"
0.085824,0.946347,0.0824434,0.180262,0.086329,0.222507,0.407333
0.202314,0.560503,0.168308,0.168308,0.202314,0.560503,"NA"
0.107189,1.03094,0.186065,0.482553,0.106822,0.165532,0.165532
0.00404598,0.172775,0.00490916,0.00533714,0.00404598,0.104594,0.172775
0.812661,1.22491,0.815147,0.815147,0.812661,1.22491,"NA"
0.0102401,0.,0.,0.,"NA",0.0242635,0.0242635
0.314609,0.419129,"NA","NA","NA",0.419129,"NA"
0.133354,0.375826,0.168285,0.29149,0.18394,0.141033,0.129978
1.07438,1.4834,"NA","NA","NA",1.4834,"NA"
0.155491,0.318483,"NA","NA","NA",0.318483,"NA"
0.456602,1.215,0.684766,0.684766,0.456602,0.953634,1.215
0.0457936,0.115234,0.044852,0.0928834,0.0517938,0.055832,0.0455292
0.117922,0.0799452,"NA","NA","NA",0.0799452,"NA"
0.826251,1.00279,"NA","NA","NA",1.00279,"NA"
0.0416257,0.111135,0.0337742,0.0564802,0.0132491,0.0488763,0.0406405
0.0631137,0.123414,0.0817322,0.101027,0.0631137,0.0844585,0.123414
0.107531,0.795127,0.390805,0.542843,0.518241,0.385159,0.402033
0.180577,0.467275,0.159838,0.240082,0.308117,0.226137,0.171129
0.0560691,0.0884626,0.0504186,0.0884626,0.124056,0.201939,0.107113
0.260688,1.22178,0.679826,0.869857,0.826485,0.648892,0.648892
0.865253,2.18461,"NA","NA","NA",2.18461,"NA"
0.0359179,0.949698,0.0375089,0.0375089,0.0359179,0.949698,"NA"
0.0163297,0.143913,0.0156448,0.0242806,0.0124315,0.0248473,0.0387793
0.0365495,0.0822992,"NA","NA","NA",0.0822992,"NA"
