"BAU","SA","EXT10","EXT30","GTR30","NTSR","NTLR"
0.686059,1.17619,0.751355,0.800546,0.693565,0.793193,1.10767
2.28266,6.54616,2.98427,3.84713,2.29513,3.39236,5.02452
4.1302,23.4061,3.86443,3.86443,4.13051,23.4061,"NA"
3.49708,6.49818,3.1723,3.1723,3.49745,6.49818,"NA"
0.70144,0.400236,"NA","NA","NA",0.400236,"NA"
6.84002,17.6102,7.36437,7.71764,6.87988,11.1555,17.6102
3.23195,0.0395733,0.724359,0.0356076,3.73298,2.71903,2.71903
0.128206,0.355036,"NA","NA","NA",0.355036,"NA"
1.09098,9.39385,1.52015,2.19747,1.10006,3.57551,6.36313
3.38627,8.10645,2.98289,2.98289,3.3883,8.10645,"NA"
0.186945,6.73399,1.75341,5.38805,0.208496,0.18951,0.18951
0.0173721,0.365183,0.0259149,0.0275684,0.0246694,0.219229,0.365183
0.763283,26.9008,0.787451,0.787451,0.771964,26.9008,"NA"
0.0449144,0.00159762,0.0155679,0.00130367,"NA",0.045533,0.045533
1.50849,3.85622,"NA","NA","NA",3.85622,"NA"
0.398765,1.87406,0.537208,1.41413,0.502913,0.371068,0.385503
22.5797,47.1147,"NA","NA","NA",47.1147,"NA"
1.25805,1.31752,"NA","NA","NA",1.31752,"NA"
5.68396,15.0112,5.99211,5.99211,5.68486,14.1701,15.0112
0.531051,1.03826,0.739748,1.02071,0.588156,0.317705,0.529937
0.483257,0.40506,"NA","NA","NA",0.40506,"NA"
1.10314,24.0808,"NA","NA","NA",24.0808,"NA"
0.901362,3.10667,1.39508,2.86697,0.991882,0.824216,0.86702
0.307075,3.19805,0.289433,0.306387,0.314266,1.10353,3.19805
0.657608,2.31105,0.537576,1.04564,1.07664,0.684981,0.611091
0.527108,1.53032,0.496689,1.09043,0.832434,0.549867,0.541702
0.674402,1.03204,0.817004,1.03204,0.741457,0.716923,0.68738
1.45311,10.1627,1.59401,4.98772,3.76541,1.52897,1.52897
10.8922,18.3488,"NA","NA","NA",18.3488,"NA"
2.29287,20.5077,2.09371,2.09371,2.30005,20.5077,"NA"
0.784601,2.75178,0.919112,1.13798,0.793921,1.50157,1.83177
0.81151,0.922826,"NA","NA","NA",0.922826,"NA"
0.422523,0.748076,0.295306,0.571126,0.431727,0.614809,0.614809
2.25639,4.12363,1.3718,2.59376,3.54017,3.18151,3.18151
0.613232,31.6541,2.09788,13.7848,0.91931,0.292149,0.292149
0.179557,2.81482,0.911941,2.21022,0.199405,0.182019,0.182019
2.59927,2.68128,2.34254,2.69011,2.66712,3.78452,2.68128
3.05094,0.357158,0.794227,0.287385,3.5745,2.55906,2.55906
0.38868,1.35467,0.37946,0.37946,0.393489,0.931492,1.35467
3.23656,0.176025,0.781612,0.147663,3.76252,2.71901,2.71901
18.1604,34.0449,"NA","NA","NA",34.0449,"NA"
3.23591,12.6187,"NA","NA","NA",12.6187,"NA"
1.01948,1.23131,"NA","NA","NA",1.23131,"NA"
1.4788,3.61562,0.769407,1.8429,2.36338,2.19302,2.19302
10.382,49.2891,"NA","NA","NA",49.2891,"NA"
0.158379,0.234494,0.146954,0.146954,0.159488,0.178245,0.160983
2.54802,2.81268,0.489615,0.489615,2.49326,1.84168,1.84168
0.507956,0.0102144,0.12652,0.12652,0.536305,1.095,1.095
0.225665,0.516851,0.0931967,0.200403,0.238068,0.486926,0.486926
0.95168,1.53213,0.539009,0.866027,1.92062,0.850216,0.850216
1.6876,3.49848,0.959174,0.959174,1.69205,3.40154,2.42408
5.20998,16.3332,4.51537,9.57932,9.22366,4.59902,4.59902
2.82531,50.0987,3.31381,3.44443,2.82696,45.1361,50.0987
0.923348,1.00691,"NA","NA","NA",1.00691,"NA"
0.561963,2.75737,0.525967,0.525967,0.567423,2.75737,"NA"
0.192089,0.00704337,0.0469936,0.0031373,0.222422,0.240598,0.14714
1.06147,7.43185,0.963474,0.963474,1.06157,7.13267,7.43185
1.40677,34.8912,4.75601,22.6003,2.13822,1.9955,1.9955
1.80587,6.07003,1.09604,1.09604,1.91609,3.89371,3.89371
4.54477,3.22098,1.91999,2.31205,6.19851,3.91214,3.91214
0.789663,3.8653,0.826395,0.826395,0.830098,1.70485,1.70485
0.234966,12.1156,0.138678,0.177859,0.237774,4.40265,10.8268
2.55445,3.19331,1.27355,2.07082,3.50275,2.3079,2.3079
3.86337,8.5319,3.90629,3.90629,3.87305,8.5319,"NA"
4.04985,2.95089,1.70013,2.10238,5.29922,3.48537,3.48537
1.93274,8.40163,2.1373,2.24826,1.95496,3.45616,8.40163
2.81861,3.69448,1.04161,1.04161,2.93054,2.54677,2.54677
3.25905,2.22517,1.23965,1.51338,4.80943,2.94463,2.94463
1.50802,9.77755,1.54881,1.55669,1.52199,3.39093,9.77755
4.92945,7.46823,2.59988,4.30343,7.5399,4.30195,4.30195
1.60937,7.24974,1.50286,1.50286,1.61587,6.46267,7.24974
1.83414,4.95348,1.36306,3.09456,1.86255,2.71973,2.71973
3.43424,7.469,1.76233,3.76866,4.98048,3.10433,3.10433
