"BAU","SA","EXT10","EXT30","GTR30","NTSR","NTLR"
1414.98,0.,1363.69,1034.89,1392.96,1435.09,1289.53
8552.81,0.,8240.84,7147.95,8258.69,8608.28,7939.33
6629.34,0.,5957.42,4223.44,6636.41,5120.61,"NA"
3853.94,0.,3582.95,2592.61,3860.96,3495.63,"NA"
-881.695,0.,"NA","NA","NA",-1030.83,"NA"
16289.2,0.,16173.1,12537.2,16265.6,15606.5,12979.3
16305.8,0.,14916.,12157.8,15624.8,16068.3,16068.3
1360.33,0.,"NA","NA","NA",1224.96,"NA"
9136.38,0.,8539.15,6883.9,8841.58,8973.11,8021.73
2874.99,0.,2622.97,1922.53,2873.74,2308.27,"NA"
16349.9,0.,14492.,10332.5,15722.8,16335.5,16335.5
2466.35,0.,2264.92,1596.24,2468.13,1910.07,1642.64
10732.1,0.,10755.6,7413.43,10748.3,7520.94,"NA"
165.146,0.,-20.1788,-17.985,"NA",161.674,161.674
2597.9,0.,"NA","NA","NA",2564.22,"NA"
4684.69,0.,4319.41,3313.86,4575.5,4673.83,4633.02
3576.54,0.,"NA","NA","NA",3987.41,"NA"
3318.2,0.,"NA","NA","NA",3418.6,"NA"
6752.76,0.,6237.95,4082.05,6761.74,5928.26,5274.76
2983.85,0.,2710.79,2010.2,2909.26,3155.58,2973.05
1274.01,0.,"NA","NA","NA",1273.96,"NA"
2873.71,0.,"NA","NA","NA",2856.72,"NA"
10262.8,0.,9962.17,7918.82,10087.,10473.4,10138.6
470.943,0.,477.051,413.589,472.967,480.493,367.224
9245.06,0.,8972.55,7434.47,8841.16,9283.95,9266.26
6702.36,0.,6369.73,5249.14,6436.16,6690.24,6582.37
3882.34,0.,3509.07,2811.57,3840.84,4251.09,3873.82
22004.9,0.,17817.5,11925.9,20937.8,22064.3,22064.3
9326.67,0.,"NA","NA","NA",7797.78,"NA"
10975.6,0.,10384.4,7512.02,10977.1,8781.84,"NA"
4361.16,0.,4486.15,3835.6,4383.26,4581.82,4445.74
5409.33,0.,"NA","NA","NA",5257.98,"NA"
5674.67,0.,4408.85,3055.06,5660.89,5707.49,5707.49
23478.1,0.,18687.8,12882.9,21997.9,23617.2,23617.2
6619.64,0.,6103.,4373.7,6550.57,6539.02,6539.02
16495.7,0.,13714.9,9113.64,15590.,16481.8,16481.8
4203.41,0.,4040.14,2763.32,4165.56,3924.99,3576.39
25819.2,0.,20093.,13620.7,24295.6,25597.7,25597.7
1013.81,0.,1014.01,1014.01,1015.19,1078.26,1050.53
25016.5,0.,20648.1,14166.7,23786.7,24770.8,24770.8
3794.99,0.,"NA","NA","NA",3474.95,"NA"
1669.29,0.,"NA","NA","NA",1312.55,"NA"
2987.55,0.,"NA","NA","NA",3037.35,"NA"
14266.5,0.,9629.58,5704.97,13363.3,14331.8,14331.8
7879.95,0.,"NA","NA","NA",6261.,"NA"
442.363,0.,471.528,471.528,440.672,477.063,440.616
5133.34,0.,3232.19,3232.19,5129.97,5375.89,5375.89
1769.24,0.,325.817,325.817,1733.7,1802.22,1802.22
860.005,0.,219.748,93.6025,844.95,874.253,874.253
7629.68,0.,5703.53,3577.39,7250.5,7608.1,7608.1
12269.,0.,8471.84,8471.84,12322.,12622.9,11852.5
44244.,0.,35145.2,22726.9,42403.3,44114.7,44114.7
15787.4,0.,16148.2,11826.7,15887.7,16412.2,14903.
12291.3,0.,"NA","NA","NA",12676.1,"NA"
3983.23,0.,4080.64,2830.98,3995.36,3414.27,"NA"
1872.97,0.,1697.68,1284.47,1830.33,1934.59,1850.53
4674.54,0.,4306.91,2754.85,4696.36,4680.52,4794.97
23891.4,0.,18327.1,10522.4,22980.3,23985.7,23985.7
15045.8,0.,8682.62,8682.62,14904.5,15157.9,15157.9
36995.3,0.,30780.3,22644.5,35050.2,36860.3,36860.3
3648.21,0.,1036.48,1036.48,3604.56,3697.89,3697.89
2790.98,0.,2922.23,2435.27,2791.32,2752.06,2746.21
20019.6,0.,16563.6,12036.6,19272.5,19745.3,19745.3
6135.47,0.,6342.67,3971.85,6152.38,6099.56,"NA"
27629.9,0.,24894.8,18975.9,26526.6,27450.2,27450.2
3143.54,0.,2869.55,1967.16,3133.98,3289.38,2085.83
13563.6,0.,8893.66,8893.66,13416.4,13260.8,13260.8
29672.3,0.,24111.1,16660.5,28575.5,29322.2,29322.2
2393.22,0.,2223.59,1642.07,2403.39,2490.66,1907.36
34637.6,0.,27048.5,18889.,32960.1,34444.2,34444.2
3826.13,0.,4023.59,2657.26,3837.86,3863.95,3804.66
17882.3,0.,14991.3,11486.6,17780.3,17963.,17963.
35051.7,0.,25959.2,15896.1,34125.4,34682.8,34682.8
3625.39,0.,3470.1,2914.18,3605.57,3163.05,3613.17
17457.5,0.,14973.,10708.8,16900.8,17379.,17379.
13514.4,0.,12589.5,9863.69,12909.3,13563.3,13563.3
903.394,0.,925.522,769.716,905.113,896.547,633.999
33814.3,0.,28899.,21098.6,31734.8,33975.6,33975.6
759.4,0.,775.26,775.26,755.31,768.923,757.005
41903.9,0.,34419.8,23325.4,40189.4,42105.8,42105.8
12058.8,0.,9962.8,7219.67,11488.6,11817.9,11817.9
3694.39,0.,3023.54,2142.89,3546.43,3637.82,3637.82
13682.8,0.,10851.8,7562.46,13036.8,13610.9,13610.9
4556.98,0.,"NA","NA","NA",4623.98,"NA"
9235.98,0.,7558.85,5357.23,8866.07,9094.54,9094.54
2020.9,0.,1518.53,1518.53,2022.14,1939.83,2012.67
11975.3,0.,9942.1,6960.9,11409.6,11932.9,11932.9
9446.9,0.,"NA","NA","NA",9324.45,"NA"
2879.99,0.,2823.56,2243.03,2850.16,2467.77,2787.81
18057.2,0.,16364.,12168.4,17952.8,18246.5,14274.8
3529.42,0.,"NA","NA","NA",3274.46,2775.01
3411.13,0.,2173.28,2173.28,3356.8,3288.19,3288.19
3607.96,0.,2211.2,2211.2,3549.66,4516.46,3782.41
13307.,0.,13378.8,10515.7,13346.7,13304.7,13193.6
25950.4,0.,16544.8,16544.8,25838.6,26064.,26064.
12186.7,0.,9609.71,7749.84,12075.9,11903.,8885.48
7580.74,0.,6827.78,4659.11,7440.23,8308.82,7242.34
1175.21,0.,1086.2,793.526,1176.14,927.718,"NA"
29950.5,0.,24524.7,17949.8,27920.,29752.1,29752.1
41518.8,0.,37408.1,29042.5,39156.7,41473.3,41473.3
22713.7,0.,17927.6,12357.9,21399.9,22577.9,22577.9
26254.4,0.,22162.1,16353.1,26057.4,25839.,25839.
2601.61,0.,"NA","NA","NA",3586.43,"NA"
26759.6,0.,24644.7,20201.2,25614.2,26711.2,26711.2
2401.52,0.,"NA","NA","NA",2219.56,"NA"
2445.88,0.,"NA","NA","NA",2663.66,"NA"
17122.4,0.,15064.6,10573.3,16563.5,17120.,16741.4
17636.5,0.,14285.9,9825.39,16747.3,17583.2,17583.2
3715.52,0.,3821.32,2907.2,3726.,3066.81,2790.26
2807.62,0.,"NA","NA","NA",2320.93,2271.48
1946.18,0.,"NA","NA","NA",1982.8,"NA"
4831.,0.,4695.61,3893.91,4546.44,4996.73,4681.31
3013.28,0.,3385.,3021.99,2925.48,2959.86,2877.06
10769.2,0.,10385.8,7762.97,10792.8,10916.6,"NA"
23752.8,0.,21893.5,16727.1,23040.4,23742.9,23700.7
6020.82,0.,5403.1,3563.44,6009.98,6657.56,6019.71
6739.17,0.,"NA","NA","NA",5434.04,5502.01
4749.,0.,"NA","NA","NA",4617.56,"NA"
2170.85,0.,"NA","NA","NA",2372.67,"NA"
253.851,0.,"NA","NA","NA",262.808,"NA"
4587.69,0.,"NA","NA","NA",4445.5,"NA"
5116.09,0.,"NA","NA","NA",4556.6,"NA"
937.569,0.,963.495,603.698,930.881,1268.22,835.909
1498.18,0.,"NA","NA","NA",1523.73,"NA"
16407.3,0.,15940.8,13119.2,16504.3,13031.6,10284.5
8491.65,0.,7668.13,6418.99,8419.97,8895.25,8424.7
863.54,0.,838.99,690.483,868.648,685.875,541.288
950.655,0.,853.121,562.648,948.945,1051.19,950.481
6788.1,0.,6788.36,5601.76,6580.93,6811.07,6722.43
2910.33,0.,"NA","NA","NA",2958.02,"NA"
8238.69,0.,7416.12,5690.3,8154.81,8314.81,8055.27
4161.33,0.,4379.64,4046.34,4148.47,4390.85,3517.67
80307.5,0.,72944.7,53159.9,77052.2,80223.1,67582.3
5837.13,0.,"NA","NA","NA",5879.52,"NA"
2864.1,0.,"NA","NA","NA",2806.69,"NA"
20520.2,0.,17706.1,12822.4,19408.2,20578.8,20578.8
7951.05,0.,7599.06,5571.17,7968.71,6801.17,"NA"
2732.63,0.,2365.21,1814.89,2646.54,2724.62,2724.62
545.738,0.,"NA","NA","NA",443.218,"NA"
7891.09,0.,7682.08,6348.13,7781.51,7616.53,7854.56
2376.72,0.,2547.66,1432.98,2384.83,2296.3,2376.72
1365.18,0.,1306.99,1114.34,1360.96,1312.82,1359.57
8186.95,0.,8224.34,6245.82,8209.18,8491.12,8546.33
2393.29,0.,2394.35,1960.97,2396.2,2578.86,2288.18
1050.75,0.,"NA","NA","NA",806.78,1050.75
1670.81,0.,1678.44,1274.66,1675.34,1732.88,1744.15
3357.8,0.,"NA","NA","NA",3415.64,"NA"
1308.26,0.,1343.9,1242.21,1305.5,1395.62,1346.47
4215.71,0.,"NA","NA","NA",4246.32,"NA"
2961.97,0.,3105.16,2577.81,2951.19,2986.72,2552.27
11213.3,0.,10410.6,8339.59,10867.2,11177.5,11177.5
26952.1,0.,23073.7,17404.6,25301.7,26919.7,26919.7
3533.38,0.,3075.59,1983.86,3525.91,2762.34,"NA"
1196.65,0.,1197.18,980.482,1198.1,1289.43,1144.09
7292.27,0.,7233.63,5450.61,7291.59,7503.27,7054.66
5111.78,0.,4835.75,3395.97,5018.4,5067.95,4372.71
6257.05,0.,6038.23,4735.37,6197.19,6158.67,6229.83
2434.22,0.,2424.22,1589.5,2436.79,2316.43,2285.13
9949.6,0.,9979.42,7086.1,9966.95,9628.03,9954.34
1091.48,0.,"NA","NA","NA",886.436,"NA"
10099.2,0.,9312.28,7614.01,10029.,9539.82,6362.69
13634.9,0.,12733.2,9344.01,13640.4,12379.8,10212.1
9256.71,0.,8588.48,6590.21,8686.35,9126.83,9215.21
4657.18,0.,3752.03,2549.3,4652.3,4748.7,4153.03
8100.37,0.,7186.99,5718.41,7034.63,8081.27,8081.27
6370.34,0.,6537.58,4953.77,6394.78,6549.35,6381.22
4914.44,0.,"NA","NA","NA",4982.68,"NA"
4522.62,0.,4542.57,4067.16,4545.56,4046.46,3666.81
5885.53,0.,5400.41,3584.57,5893.16,5813.64,5666.09
2596.83,0.,2572.89,1701.39,2601.98,2578.17,2487.51
8354.28,0.,7721.83,4326.61,8363.62,8806.72,8354.28
5099.91,0.,4677.97,3190.37,5097.89,5139.8,4939.5
25477.,0.,24417.2,17431.,25411.,24254.6,25471.1
10682.4,0.,"NA","NA","NA",10346.5,"NA"
